network,station,latitude,longitude,elevation,start_date,end_date,distance_from_ferndale,comment,locations,channels,instrument_type
BK,BJES,40.54362,-123.87996,1050.7,2019-08-22T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,47.070877271431726,,['00'],"['HHN', 'HHZ', 'HHE']",H
BK,JCC,40.817451,-124.029549,27.2,2001-04-11T21:27:00.000000Z,3000-01-01T00:00:00.000000Z,47.2219122977969,,"['', '00']","['HHN', 'HHZ', 'HHE']",H
BK,PETL,40.28844,-124.34259,49.6,2019-03-01T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,27.41441559113809,,['00'],"['HHN', 'HHZ', 'HHE']",H
BK,RBOW,40.33467,-124.11136,1100.0,2020-06-18T02:42:00.000000Z,3000-01-01T00:00:00.000000Z,34.65374408547805,,['00'],"['HHE', 'HHZ', 'HHN']",H
CE,89101,40.325,-124.2877,37.0,2002-06-19T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,25.4847866018568,,"['10', '']","['HNZ', 'HNN', 'HNE']",H
CE,89255,40.5922,-124.1463,16.0,2005-08-03T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,25.56448653198726,,"['10', '']","['HNZ', 'HNE', 'HNN']",H
CE,89462,40.5036,-124.101,43.0,2010-05-12T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,28.40597650464472,,"['10', '']","['HNN', 'HNE', 'HNZ']",H
CE,89781,40.7834,-124.1435,35.0,2005-05-10T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,37.8305903389022,,"['10', '']","['HNZ', 'HNE', 'HNN']",H
NC,KCO,40.256748,-124.265984,892.0,2012-09-19T16:05:00.000000Z,3000-01-01T00:00:00.000000Z,33.06375385183113,,[''],"['HNE', 'HNZ', 'HNN']",H
NC,KCT,40.475567,-124.337486,378.0,1979-09-04T23:35:00.000000Z,3000-01-01T00:00:00.000000Z,9.922638709681616,,[''],"['HHN', 'HHE', 'HHZ']",H
NC,KMPB,40.417194,-124.120758,970.0,2000-04-27T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,29.214344760237363,,[''],"['HHE', 'HHN', 'HHZ']",H
NC,KPR,40.2196,-124.05732,450.0,2019-05-22T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,46.67844374896313,,['01'],"['HNZ', 'HNN', 'HNE']",H
NP,1023,40.576071,-124.263695,16.0,1933-05-26T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,15.579131872238657,,"['10', '']","['HNN', 'HNZ', 'HNE']",H
NP,1580,40.87772,-124.07738,52.0,1981-08-14T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,49.47394807949426,,"['01', '10']","['HNN', 'HNZ', 'HNE']",H
NP,1581,40.73501,-124.20763,8.0,1981-08-13T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,30.23082869791136,,"['10', '']","['HNN', 'HNZ', 'HNE']",H
NP,1582,40.69901,-124.201,19.0,1981-08-14T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,27.66818543586879,,"['', '10', '01']","['HNZ', 'HNN', 'HNE']",H
NP,1586,40.6442,-124.22071,38.0,1985-01-23T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,22.45757553355677,,"['10', '']","['HNE', 'HNN', 'HNZ']",H
PB,B045,40.436001,-123.996498,29.4,2008-09-16T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,38.47254654536626,,[''],"['EH2', 'EHZ', 'EH1']",E
PB,B046,40.321972,-124.284302,44.0,2008-08-26T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,25.9195183338718,,[''],"['EHZ', 'EH1', 'EH2']",E
PB,B047,40.249933,-124.169848,80.0,2008-09-04T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,37.94478915723923,,[''],"['EHZ', 'EH1', 'EH2']",E
PB,B932,40.275002,-124.221199,52.0,2008-10-17T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,33.16729914916793,,[''],"['EH2', 'EHZ', 'EH1']",E
